Telescope Time,Observation1,Observation2,Strategy,Detection Prob,Integrated Prob Area,Filters,Exposure1,Exposure2,Distance,Coverage_deg,TT/area,Prob01,Prob02,TTime1,TTime2
19001.608127580814,0.5,2.5,Late discovery,71.39999999999998,0.9,rz,2400.0,2400.0,135.3788159115834,6.714349161689334,2829.9999999999995,85.0,84.0,9500.804063790407,9500.804063790407
805.72189940272,0.5,1.5,Reference,55.48,0.9,ii,90.0,90.0,135.3788159115834,10.071523742534,80.00000000000001,76.0,73.0,402.86094970136,402.86094970136
783.3407355304223,0.5,1.5,Top,75.69,0.9,iz,2400.0,2400.0,152.87186560540778,6.714349161689334,116.66666666666666,87.0,87.0,9500.804063790407,9500.804063790407
470.0044413182534,1.0,1.0,Telescope Time 10%,68.89,0.8,zg,2400.0,2400.0,152.87186560540778,3.357174580844667,140.0,83.0,83.0,235.0022206591267,235.0022206591267
671.4349161689335,0.5,0.5,Early discovery,70.5608589262451,0.9,rg,2400.0,2400.0,152.87186560540778,6.714349161689334,100.0,84.0,84.00102253124416,335.7174580844667,335.7174580844667
19001.608127580814,0.5,2.5,Late discovery,68.88,0.9,rz,2400.0,2400.0,152.87186560540778,6.714349161689334,2829.9999999999995,84.0,82.0,9500.804063790407,9500.804063790407
805.72189940272,0.5,1.5,Reference,48.99,0.9,ii,90.0,90.0,152.87186560540778,10.071523742534,80.00000000000001,71.0,69.0,402.86094970136,402.86094970136
5774.340279052828,1.0,1.0,Top,67.24,0.9,zg,2400.0,2400.0,166.36424383211525,3.357174580844667,1720.0000000000002,82.0,82.0,235.0022206591267,235.0022206591267
470.0044413182534,0.5,0.5,Telescope Time 10%,62.41,0.9,rg,2400.0,2400.0,166.36424383211525,3.357174580844667,140.0,79.0,79.0,235.0022206591267,235.0022206591267
470.0044413182534,0.5,0.5,Early discovery,62.41,0.9,rg,2400.0,2400.0,166.36424383211525,3.357174580844667,140.0,79.0,79.0,235.0022206591267,235.0022206591267
13562.985306612456,0.5,2.5,Late discovery,60.8,0.9,iz,1200.0,1200.0,166.36424383211525,3.357174580844667,4040.0000000000005,80.0,76.0,6781.492653306228,6781.492653306228
537.1479329351467,0.5,1.5,Reference,42.24,0.9,ii,90.0,90.0,166.36424383211525,6.714349161689334,80.0,66.0,64.0,268.57396646757337,268.57396646757337
268.57396646757337,0.5,0.5,Top,98.01,0.9,ig,2400.0,2400.0,70.73955444317355,3.357174580844667,80.0,99.0,99.0,2719.311410484181,2719.311410484181
235.0022206591267,0.5,0.5,Telescope Time 10%,88.36,0.9,ig,90.0,90.0,70.73955444317355,3.357174580844667,70.0,94.0,94.0,134.28698323378669,100.71523742534002
805.7218994027202,0.5,0.5,Early discovery,88.35394456997206,0.9,rg,600.0,600.0,70.73955444317355,3.357174580844667,240.00000000000003,94.0,93.99355805316178,705.0066619773802,100.71523742534002
5438.622820968362,0.5,4.0,Late discovery,88.27,0.9,ri,2400.0,2400.0,70.73955444317355,3.357174580844667,1620.0000000000005,97.0,91.0,2719.311410484181,2719.311410484181
268.57396646757337,0.5,1.5,Reference,87.42,0.9,zz,90.0,90.0,70.73955444317355,3.357174580844667,80.0,94.0,93.0,134.28698323378669,134.28698323378669
189881.79429257443,1.0,1.0,Top,60.84,0.9,zg,2400.0,2400.0,212.96086318496808,73.85784077858267,2570.909090909092,78.0,78.0,7318.640586241375,7318.640586241375
12555.832932359055,0.5,0.5,Telescope Time 10%,56.235658999300576,0.9,rg,2400.0,2400.0,212.96086318496808,177.9302527847674,70.56603773584905,75.0,74.9808786657341,6277.916466179528,6277.916466179528
14637.28117248275,0.5,0.5,Early discovery,56.25,0.9,rg,2400.0,2400.0,212.96086318496808,73.85784077858267,198.18181818181822,75.0,75.0,7318.640586241375,7318.640586241375
14637.28117248275,1.5,1.5,Late discovery,56.227310762071426,0.9,zg,1200.0,1200.0,212.96086318496808,73.85784077858267,198.18181818181822,75.0,74.9697476827619,7318.640586241375,7318.640586241375
